Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,0.398,0.386,0.543,0.392,0.409,0.432,0.481,0.481,0.499,0.47,0.049,0.068,0.275,0.27,0.319,0.263,0.247,0.254,0.268,0.26,0.279,0.286,0.052,0.051,0.17,0.197,0.168,0.168,0.176,0.17,0.168,0.151,0.189,0.172,0.054,0.049,0.118,0.121,0.118,0.115,0.119,0.131,0.11,0.12,0.136,0.121,0.052,0.049,0.086,0.091,0.083,0.098,0.085,0.084,0.083,0.09,0.089,0.089,0.05,0.059,0.072,0.071,0.072,0.082,0.069,0.095,0.07,0.074,0.069,0.069,0.051,0.053,0.063,0.061,0.06,0.065,0.06,0.059,0.063,0.061,0.062,0.058,0.049,0.049,0.055,0.053,0.055,0.063,0.056,0.057,0.054,0.06,0.055,0.056,0.049,0.055
1,0.495,0.496,0.539,0.53,0.556,0.486,0.551,0.516,0.544,0.543,0.05,0.067,0.306,0.337,0.382,0.348,0.31,0.33,0.306,0.3,0.298,0.312,0.052,0.051,0.19,0.249,0.203,0.183,0.196,0.19,0.19,0.187,0.238,0.189,0.054,0.05,0.129,0.148,0.128,0.124,0.129,0.133,0.125,0.131,0.162,0.132,0.052,0.049,0.091,0.095,0.086,0.125,0.083,0.091,0.089,0.098,0.094,0.096,0.049,0.059,0.077,0.078,0.086,0.103,0.068,0.116,0.074,0.077,0.072,0.072,0.051,0.052,0.066,0.062,0.061,0.065,0.061,0.067,0.064,0.062,0.064,0.061,0.049,0.049,0.055,0.054,0.055,0.066,0.056,0.058,0.055,0.061,0.056,0.056,0.049,0.055
2,0.632,0.652,0.657,0.64,0.667,0.673,0.677,0.644,0.655,0.65,0.05,0.067,0.393,0.39,0.393,0.417,0.385,0.429,0.401,0.384,0.392,0.395,0.052,0.051,0.216,0.235,0.241,0.232,0.251,0.241,0.245,0.216,0.329,0.235,0.054,0.052,0.15,0.143,0.152,0.147,0.162,0.168,0.157,0.156,0.219,0.165,0.052,0.049,0.102,0.105,0.098,0.192,0.096,0.109,0.104,0.113,0.111,0.112,0.05,0.059,0.084,0.078,0.113,0.144,0.075,0.154,0.084,0.088,0.083,0.082,0.051,0.052,0.071,0.067,0.065,0.069,0.064,0.077,0.069,0.067,0.07,0.066,0.049,0.049,0.059,0.057,0.057,0.068,0.057,0.06,0.056,0.063,0.058,0.058,0.049,0.055
3,0.728,0.761,0.747,0.76,0.781,0.789,0.766,0.759,0.775,0.742,0.05,0.066,0.529,0.516,0.52,0.516,0.509,0.529,0.515,0.503,0.506,0.517,0.052,0.051,0.276,0.291,0.311,0.296,0.3,0.301,0.302,0.279,0.26,0.302,0.054,0.054,0.187,0.173,0.177,0.182,0.191,0.193,0.195,0.186,0.207,0.198,0.052,0.049,0.122,0.118,0.11,0.116,0.127,0.121,0.122,0.131,0.134,0.123,0.049,0.059,0.091,0.086,0.137,0.186,0.082,0.089,0.095,0.098,0.093,0.093,0.051,0.052,0.078,0.073,0.071,0.074,0.067,0.071,0.073,0.073,0.077,0.072,0.049,0.049,0.062,0.062,0.061,0.07,0.059,0.062,0.056,0.066,0.061,0.063,0.049,0.055
4,0.798,0.822,0.808,0.814,0.837,0.84,0.812,0.819,0.821,0.804,0.05,0.067,0.612,0.614,0.622,0.609,0.592,0.628,0.609,0.591,0.599,0.612,0.052,0.051,0.415,0.408,0.397,0.411,0.421,0.415,0.385,0.373,0.364,0.407,0.054,0.049,0.279,0.25,0.212,0.261,0.259,0.268,0.258,0.273,0.289,0.282,0.052,0.049,0.168,0.15,0.153,0.146,0.146,0.16,0.164,0.168,0.172,0.161,0.05,0.059,0.112,0.101,0.101,0.098,0.095,0.104,0.107,0.112,0.115,0.111,0.051,0.052,0.086,0.08,0.078,0.08,0.071,0.079,0.08,0.081,0.084,0.083,0.049,0.049,0.068,0.068,0.064,0.074,0.062,0.064,0.057,0.07,0.066,0.069,0.049,0.055
5,0.832,0.837,0.845,0.855,0.868,0.892,0.858,0.855,0.85,0.845,0.05,0.067,0.657,0.665,0.681,0.675,0.655,0.684,0.67,0.661,0.664,0.663,0.052,0.051,0.483,0.472,0.467,0.483,0.48,0.482,0.456,0.458,0.439,0.495,0.054,0.049,0.374,0.348,0.339,0.323,0.321,0.364,0.319,0.36,0.372,0.359,0.052,0.049,0.232,0.2,0.196,0.208,0.209,0.24,0.225,0.232,0.222,0.209,0.05,0.059,0.142,0.13,0.124,0.121,0.113,0.128,0.144,0.153,0.146,0.143,0.051,0.052,0.103,0.095,0.088,0.096,0.084,0.088,0.089,0.094,0.11,0.095,0.049,0.049,0.074,0.073,0.07,0.08,0.067,0.071,0.059,0.075,0.073,0.077,0.049,0.055
6,0.861,0.882,0.881,0.879,0.899,0.915,0.888,0.888,0.882,0.873,0.05,0.067,0.713,0.718,0.722,0.722,0.702,0.729,0.711,0.71,0.705,0.719,0.052,0.051,0.546,0.543,0.532,0.527,0.546,0.548,0.525,0.514,0.512,0.553,0.054,0.049,0.449,0.414,0.387,0.386,0.387,0.414,0.397,0.4,0.431,0.431,0.052,0.049,0.312,0.272,0.264,0.276,0.278,0.3,0.292,0.297,0.315,0.319,0.05,0.059,0.194,0.174,0.169,0.165,0.16,0.19,0.195,0.19,0.205,0.187,0.051,0.052,0.129,0.12,0.111,0.114,0.098,0.117,0.107,0.117,0.131,0.119,0.049,0.049,0.088,0.083,0.078,0.09,0.079,0.081,0.064,0.084,0.087,0.086,0.049,0.055
7,0.891,0.92,0.908,0.907,0.928,0.942,0.908,0.917,0.911,0.892,0.05,0.067,0.741,0.749,0.755,0.752,0.723,0.758,0.751,0.74,0.734,0.75,0.052,0.051,0.584,0.578,0.573,0.584,0.582,0.595,0.567,0.557,0.556,0.593,0.054,0.049,0.528,0.479,0.464,0.465,0.462,0.475,0.475,0.475,0.496,0.482,0.052,0.049,0.388,0.285,0.33,0.311,0.302,0.347,0.346,0.349,0.349,0.34,0.049,0.059,0.272,0.238,0.233,0.226,0.221,0.255,0.255,0.249,0.271,0.256,0.051,0.052,0.172,0.15,0.149,0.145,0.124,0.148,0.135,0.164,0.187,0.167,0.049,0.049,0.111,0.103,0.096,0.106,0.096,0.099,0.071,0.099,0.111,0.118,0.049,0.055
8,0.904,0.944,0.92,0.916,0.958,0.942,0.932,0.929,0.923,0.909,0.05,0.067,0.757,0.775,0.782,0.779,0.765,0.791,0.78,0.771,0.762,0.773,0.052,0.051,0.631,0.62,0.607,0.635,0.621,0.631,0.592,0.6,0.595,0.64,0.054,0.049,0.568,0.514,0.521,0.52,0.489,0.519,0.514,0.544,0.535,0.54,0.052,0.049,0.434,0.342,0.366,0.38,0.368,0.413,0.412,0.438,0.448,0.408,0.05,0.059,0.317,0.29,0.295,0.294,0.291,0.299,0.309,0.332,0.306,0.33,0.051,0.052,0.235,0.209,0.189,0.198,0.175,0.212,0.185,0.213,0.26,0.233,0.049,0.049,0.149,0.141,0.121,0.137,0.124,0.135,0.087,0.081,0.142,0.147,0.049,0.055
9,0.92,0.95,0.94,0.934,0.987,0.975,0.945,0.948,0.945,0.935,0.05,0.067,0.79,0.789,0.807,0.791,0.777,0.815,0.794,0.789,0.783,0.798,0.052,0.051,0.654,0.65,0.633,0.661,0.655,0.656,0.644,0.631,0.609,0.662,0.054,0.049,0.609,0.557,0.549,0.548,0.529,0.551,0.544,0.551,0.575,0.578,0.052,0.049,0.49,0.388,0.453,0.413,0.443,0.459,0.466,0.466,0.486,0.469,0.05,0.059,0.356,0.328,0.357,0.325,0.309,0.378,0.353,0.344,0.383,0.379,0.051,0.052,0.306,0.273,0.257,0.268,0.241,0.268,0.226,0.256,0.314,0.301,0.049,0.049,0.202,0.191,0.175,0.178,0.171,0.186,0.114,0.109,0.194,0.205,0.049,0.055
